Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Sister Chromatid Segregation (GO:0000819),0.6813030447555717,2.2212116498526595,0.001,0.011631674442716433,0.01,13/33,12.00%,TOP2A;SPAG5;PLK1;NDC80;KIFC1;SMC1A;KIF18A;KLHL22;KNTC1;KIF18B;ESPL1;RB1;KNSTRN
prerank,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),0.6693674547454083,2.0916298225692027,0.001,0.02233281493001555,0.079,10/27,9.49%,PLK1;HASPIN;NDC80;TTK;CDC20;KLHL22;TRIP13;KNTC1;BUB1B;SPC24
prerank,Mitotic Spindle Checkpoint Signaling (GO:0071174),0.6727540067359575,2.095116420294585,0.001,0.026462059357179886,0.074,10/26,9.49%,PLK1;HASPIN;NDC80;TTK;CDC20;KLHL22;TRIP13;KNTC1;BUB1B;SPC24
prerank,Spindle Assembly Checkpoint Signaling (GO:0071173),0.6727540067359575,2.095116420294585,0.001,0.026462059357179886,0.074,10/26,9.49%,PLK1;HASPIN;NDC80;TTK;CDC20;KLHL22;TRIP13;KNTC1;BUB1B;SPC24
prerank,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),0.6727540067359575,2.095116420294585,0.001,0.026462059357179886,0.074,10/26,9.49%,PLK1;HASPIN;NDC80;TTK;CDC20;KLHL22;TRIP13;KNTC1;BUB1B;SPC24
prerank,Regulation Of Wound Healing (GO:0061041),-0.657548053014573,-2.021738670666371,0.001,0.0639398924109723,0.064,14/32,12.26%,F2R;F2RL1;CLDN3;HBEGF;CLDN1;ANXA1;EPHB2;VTN;CLDN4;CRK;MYLK;EPPK1;TNFRSF12A;SERPINE1
prerank,Regulation Of Collagen Biosynthetic Process (GO:0032965),-0.7823967543191314,-1.9735793433239688,0.001,0.07104432490108034,0.135,6/13,4.91%,F2R;RGCC;LARP6;EMILIN1;CREB3L1;WNT4
prerank,Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480),0.6662480601242685,1.9902291967272003,0.001,0.08258488854328667,0.311,12/23,10.39%,PLN;HRC;TMEM64;TRPC1;TRPC3;FZD9;GPER1;RYR2;CDH23;ATP2B4;TUNAR;YWHAE
prerank,Positive Regulation Of Collagen Biosynthetic Process (GO:0032967),-0.7978131633640625,-1.9246760051272938,0.0017331022530329288,0.08680728448850754,0.289,5/11,4.91%,F2R;RGCC;LARP6;CREB3L1;WNT4
prerank,Positive Regulation Of Collagen Metabolic Process (GO:0010714),-0.7849039872601199,-1.9372029729921671,0.0034782608695652175,0.0899894782080351,0.238,5/12,4.91%,F2R;RGCC;LARP6;CREB3L1;WNT4
prerank,Adrenergic Receptor Signaling Pathway (GO:0071875),0.7772986749312888,1.965484663166404,0.001,0.10219256831815153,0.412,6/12,4.87%,ADRA2B;ADRB1;ADRB2;LMBRD2;ZDHHC21;ADRB3
prerank,Positive Regulation Of Type II Interferon Production (GO:0032729),-0.6401325642019284,-1.9055171250394434,0.001,0.1031918819188192,0.391,14/28,21.27%,F2RL1;FZD5;SLC7A5;SLC11A1;IL12RB2;JAK2;HLA-A;MYDGF;ISL1;FADD;RASGRP1;PDE4B;ISG15;IL12RB1
prerank,Receptor Internalization (GO:0031623),-0.5989287406346908,-1.8795536791490803,0.0017035775127768314,0.12861982987299753,0.529,11/35,14.81%,ARRB1;LDLRAP1;RAB31;GRK3;ENTREP1;GRK4;RALA;GRK2;ADM;RAMP2;SNCA
prerank,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),0.7381379498341613,1.9355587575623792,0.001,0.13594519504924832,0.543,9/14,12.18%,CDC20;BIRC5;AURKB;CDC23;UBE2C;ESPL1;CDCA8;RB1;DLGAP5
prerank,ERK1 And ERK2 Cascade (GO:0070371),0.6722895100343014,1.9101340079195734,0.001,0.1513280844997408,0.65,9/18,13.61%,DUSP5;DUSP7;ZFP36L2;MT3;CDK1;DUSP6;ZFP36L1;SOX9;FGF10
prerank,Regulation Of Insulin Receptor Signaling Pathway (GO:0046626),0.5858727303841236,1.9179536533662547,0.001,0.15224569437244398,0.625,6/36,1.24%,NUCKS1;IGF2;SORL1;PIP4K2B;SOCS1;PIP4K2A
prerank,Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266),0.717779184407619,1.8865262332538335,0.00468384074941452,0.1574749770706225,0.749,7/15,17.53%,NDC80;BIRC5;AURKB;GEN1;CDCA8;CCNB1;DUSP1
prerank,Mitotic Nuclear Division (GO:0140014),0.5339517479695357,1.8702241021369428,0.001,0.16385152064973216,0.801,13/44,12.00%,SPAG5;PLK1;NDC80;KIFC1;KIF3B;SMC1A;KIF18A;KLHL22;UBE2C;KNTC1;KIF18B;ESPL1;KNSTRN
prerank,Chromosome Condensation (GO:0030261),0.620641625959321,1.8897318051951915,0.0024630541871921183,0.16478205460514947,0.735,11/26,9.95%,H1-0;H1-4;TOP2A;H1-10;PLK1;H1-1;PHF13;NCAPG;GPER1;NCAPD2;CDCA5
prerank,Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854),0.5542831835243994,1.892859740762889,0.001,0.17236026674207078,0.725,10/41,9.83%,SOCS3;PIP4K2B;SOCS1;PIP4K2A;EFR3B;SLA2;ITPKA;PIK3C2A;PIK3CB;PIK3R4
