Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Peptidase Inhibitor Activity (GO:0030414),-0.7062748077598533,-1.9469959138717867,0.001,0.04311434900379955,0.047,7/20,3.12%,PCSK1N;THBS1;RECK;CST3;GPC3;SPINT2;TIMP1
prerank,Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138),0.6264922013512488,1.8041194741783515,0.0024096385542168677,0.15597037143425657,0.492,10/20,9.76%,DUSP5;DUSP7;DUSP4;DUSP2;STYXL2;DUSP19;DUSP26;DUSP10;DUSP6;DUSP16
prerank,MAP Kinase Phosphatase Activity (GO:0033549),0.7087287485270717,1.778823448872564,0.0045045045045045045,0.15862667917397882,0.615,9/11,9.76%,DUSP5;DUSP7;DUSP4;DUSP2;STYXL2;DUSP26;DUSP10;DUSP6;DUSP16
prerank,Protein Phosphatase 1 Binding (GO:0008157),0.6950545107561944,1.7897091398614509,0.007211538461538462,0.16032356578938087,0.563,5/14,4.35%,PPP1R3A;SH3RF2;PPP1R3C;PPP1R3G;KCNQ1
prerank,1-Phosphatidylinositol-3-Kinase Regulator Activity (GO:0046935),0.7427076516167567,1.8078927598645211,0.004761904761904762,0.18090959277927138,0.482,3/11,5.04%,SOCS3;SOCS1;SLA2
prerank,Insulin-Like Growth Factor Receptor Binding (GO:0005159),0.7644443366639077,1.825563955340739,0.006550218340611353,0.1852398755851582,0.414,5/10,14.10%,IGF2;SOCS1;IRS1;INSR;YWHAG
prerank,Actin Monomer Binding (GO:0003785),0.6369319189545268,1.8345174849290775,0.007594936708860759,0.22533508675077688,0.391,8/21,6.99%,LMOD2;MYL2;TMSB15A;LMOD3;PRKCE;TMSB10;ABL1;NOS3
prerank,Serine-Type Peptidase Activity (GO:0008236),-0.5305220469923642,-1.7798741612248965,0.003395585738539898,0.2806744120147351,0.451,26/52,20.11%,ADAM8;CTSV;HTRA1;PRSS8;MMP2;PREP;C1R;RHBDD3;C1S;TLL2;CTRC;PRSS16;CAPN5;PCSK6;ST14;BMP1;RHBDF1;CTSH;PRSS45P;F12;TYSND1;PLAT;SEC11C;PRSS42P;TPP1;SEC11A
prerank,Single-Stranded DNA Helicase Activity (GO:0017116),0.6370136401107858,1.8435817068393285,0.001,0.30672836541698273,0.368,9/22,14.99%,DNA2;DSCC1;MCM8;PIF1;POLQ;MCM6;WRNIP1;MCM5;RFC5
prerank,"DNA Binding, Bending (GO:0008301)",0.6752000244525048,1.6693267121008568,0.014184397163120567,0.3203971874052618,0.933,5/12,13.30%,TOP2A;HMGB1P1;HMGB3;HMGB2;HMGB1
prerank,Nucleosomal DNA Binding (GO:0031492),0.5476987914738844,1.691615851367868,0.0024937655860349127,0.32570676536870885,0.888,6/27,2.63%,H1-0;H1-4;H1-10;H1-1;GATAD2B;SMARCC1
prerank,Phosphatidylinositol Phosphate Kinase Activity (GO:0016307),0.6767353751377931,1.6765229727753772,0.011737089201877934,0.3330709191527942,0.917,5/11,10.85%,PIP4K2B;PIP4K2A;PIP5K1A;PIK3CB;PIP5K1C
prerank,Phosphatidylinositol 3-Kinase Regulator Activity (GO:0035014),0.6342384491746791,1.6402217577834803,0.013953488372093023,0.36837475258412145,0.965,3/14,5.04%,SOCS3;SOCS1;SLA2
prerank,Delayed Rectifier Potassium Channel Activity (GO:0005251),0.5946967911706376,1.617827995729615,0.03218390804597701,0.37236995398240985,0.977,5/15,6.90%,LOC102723475;KCNA6;KCNQ1;KCNE4;KCNA4
prerank,Chemoattractant Activity (GO:0042056),0.5937800933865602,1.6228192445018657,0.025404157043879907,0.38880017842599135,0.976,9/17,13.82%,CX3CL1;PDGFB;S100A4;LGALS3;FGF7;HMGB2;HMGB1;FGF10;VEGFB
prerank,Fibroblast Growth Factor Binding (GO:0017134),-0.5924748832433058,-1.5110452565188988,0.04915254237288136,0.4968210150204502,1.0,6/15,15.58%,THBS1;FGFBP3;S100A13;ITGB3;FGFR2;FIBP
prerank,"Catalytic Activity, Acting On A tRNA (GO:0140101)",-0.47331547840602706,-1.5013091930467306,0.0273972602739726,0.5063439914056753,1.0,21/38,32.71%,PTRH2;LCMT2;ALKBH1;QTRT1;PUS10;MRPL58;THG1L;DUS1L;TYW5;MTFMT;PTRH1;GATC;QRSL1;TRPT1;OSGEP;QTRT2;GATB;ELAC1;ELAC2;DUS3L;TARS2
prerank,Bicarbonate Transmembrane Transporter Activity (GO:0015106),0.6265297845818498,1.5645566333984198,0.050239234449760764,0.5106526094053192,0.991,4/11,15.12%,SLC26A9;SLC39A14;SLC26A2;SLC4A3
prerank,Voltage-Gated Potassium Channel Activity Involved In Cardiac Muscle Cell Action Potential Repolarization (GO:0086008),0.6421182804499406,1.5345913174143593,0.04215456674473068,0.5220396493763549,0.997,4/10,6.43%,LOC102723475;KCNQ1;KCNE4;KCNJ5
prerank,Low-Density Lipoprotein Particle Receptor Binding (GO:0050750),-0.5628820653870983,-1.5116547664923812,0.043402777777777776,0.5244733749403381,1.0,5/18,12.24%,LDLRAP1;LRPAP1;DNAJA1;APOE;DKK1
