Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Type II diabetes mellitus,0.606772463233839,1.9657255433886214,1.000000e-03,2.450536e-02,1.600000e-02,11/35,14.39%,SOCS3;SOCS1;PRKCE;HK2;IRS1;INSR;MAPK3;PKM;PIK3CB;SOCS4;CACNA1G
prerank,Folate biosynthesis,-0.6681684743496626,-1.8151638197887472,1.655629e-03,8.839762e-02,1.050000e-01,9/20,13.82%,MOCOS;AKR1B1;AKR1C3;AKR1B10;ALPP;ALPL;MOCS1;GCH1;CBR1
prerank,Steroid hormone biosynthesis,-0.6450779437726143,-1.8052313512716112,1.000000e-03,4.927080e-02,1.160000e-01,11/23,12.62%,AKR1C3;HSD3B2;CYP11A1;HSD17B1;HSD17B7;SULT1E1;CYP1A1;HSD17B8;CYP7B1;CYP3A5;CYP1B1
prerank,Prolactin signaling pathway,0.46787020548709035,1.6776652155149123,2.487562e-03,5.283068e-01,4.900000e-01,9/55,9.79%,SOCS3;CCND1;SOCS1;NRAS;SHC3;MAPK13;MAPK3;PIK3CB;IRF1
prerank,Oocyte meiosis,0.4121073690769418,1.671346869162801,1.000000e-03,3.728659e-01,5.020000e-01,34/100,20.59%,ADCY9;PLK1;PPP3R1;RBX1;MAPK13;CDC20;CCNB2;PTTG1;SMC1A;CDK1;CDC25C;PPP2R5A;CDC23;FBXO43;MAPK3;ANAPC1;YWHAE;CPEB3;ESPL1;BTRC;PPP2R5E;CAMK2A;YWHAQ;ITPR1;YWHAG;CCNB1;PPP2R5B;ADCY6;ANAPC13;SLK;PPP1CB;CALM3;FBXW11;MAP2K1
prerank,alpha-Linolenic acid metabolism,-0.6743378024135886,-1.6597852977889738,1.204819e-02,1.997400e-01,5.220000e-01,6/12,15.25%,PLAAT3;PLA2G3;ACAA1;PLA2G6;FADS2;PLA2G4B
prerank,Renal cell carcinoma,0.4354722768307381,1.6421109413964718,2.597403e-03,3.646975e-01,6.000000e-01,15/66,13.95%,EGLN3;JUN;SLC2A1;NRAS;PDGFB;RBX1;EGLN1;ELOB;TGFB2;MAPK3;PIK3CB;CDC42;CRKL;PAK2;GAB1
prerank,Cardiac muscle contraction,0.44371704368506554,1.637627692471292,1.038961e-02,3.058846e-01,6.160000e-01,25/65,17.27%,MYL2;TNNI3;ATP2A3;COX8A;HRC;CACNB1;UQCR11;COX7B;UQCRQ;RYR2;COX5A;CASQ2;UQCRHL;MYH7;ASPH;COX6B1;CACNA2D3;SLC9A7;UQCR10;ATP1B2;ATP1B4;COX6A1;COX5B;COX7A2L;SLC9A1
prerank,Insulin resistance,0.4070981784166049,1.635291700704887,1.000000e-03,2.616308e-01,6.250000e-01,30/96,21.95%,SOCS3;PRKAA2;PPP1R3A;SLC2A1;PRKCE;PPP1R3C;IRS1;GYS1;PYGM;GFPT2;CREB3L2;NOS3;INSR;PTPA;PIK3CB;SLC27A6;PRKAB1;PRKAB2;SLC27A3;OGT;PPARGC1A;PPP1R3B;AGT;NFKBIA;PPP1CB;GFPT1;CPT1B;SLC27A4;PPARGC1B;CRTC2
prerank,Insulin signaling pathway,0.39679219752543593,1.6311237964386618,1.000000e-03,2.329039e-01,6.380000e-01,23/119,14.19%,SOCS3;PRKAA2;PPP1R3A;SOCS1;NRAS;SHC3;PPP1R3C;HK2;PHKA2;IRS1;GYS1;PYGM;MKNK2;INSR;MAPK3;PIK3CB;SOCS4;CRKL;PHKG1;CBLB;SH2B2;PRKAB1;PRKAB2
prerank,Pentose and glucuronate interconversions,-0.6484367580510968,-1.6155547765298726,2.158273e-02,2.454483e-01,6.980000e-01,4/13,7.27%,AKR1B1;AKR1B10;AKR1A1;SORD
prerank,TGF-beta signaling pathway,0.4129793148479512,1.5967188798436798,5.665722e-03,2.661354e-01,7.280000e-01,22/78,10.57%,ID1;SMAD9;GREM2;ACVR2A;ACVR2B;BMP6;ID4;SMAD7;ID3;SMAD6;RBX1;THSD4;RBL1;ID2;TGFB2;ACVR1B;BMP5;NOG;MAPK3;INHBE;LTBP1;SMURF1
